,Gene
1629,ICAM1
1630,RARB
1631,GATA6
1632,CRTAC1
1633,TNFRSF10B
1634,SDF2L1
1635,TC2N
1636,CXCR3
1637,EREG
1638,DTNA
1639,WAS
1640,BCL6B
1641,VPS50
1642,KCNH4
1643,CALM3
1644,NAP1L5
1645,ADAM12
1646,SPAG6
1647,ERAS
1648,PIM1
1649,MNS1
1650,TXK
1651,KDM3A
1652,HOXA13
1653,GALNS
1654,VSTM2B
1655,SLC2A4RG
1656,MON2
1657,ACTL6A
1658,CCDC9
1659,KCNC3
1660,ALPK3
1661,SNAP23
1662,OGT
1663,PTCD1
1664,CCNDBP1
1665,FRZB
1666,DYRK1B
1667,ERBB2
1668,GPR37
1669,LILRA5
1670,THAP3
1671,MFRP
1672,GPRASP2
1673,NLRP7
1674,OPTN
1675,MERTK
1676,CDKN1B
1677,SKP2
1678,IFIT2
1679,RS1
1680,CD40LG
1681,IL1RL2
1682,KRT20
1683,SNX33
1684,S1PR3
1685,TSPAN13
1686,TP73
1687,CORIN
1688,NTRK2
1689,CABCOCO1
1690,GIMAP5
1691,TBCK
1692,ITCH
1693,ADGRD2
1694,CSNK1E
1695,FBP1
1696,PPP2R3C
1697,COL4A5
1698,FHOD1
1699,ALK
1700,ANGPTL6
1701,SLCO1B1
1702,CXCR6
1703,MOB2
1704,CUEDC2
1705,HS6ST2
1706,GPR1
1707,ANP32E
1708,IL1RL1
1709,AGR3
1710,TACR3
1711,VGF
1712,MAP2K5
1713,NCOA3
1714,SIK3
