,Gene
1415,CNR1
1416,IRF2BPL
1417,HESX1
1418,GMDS
1419,DNASE1L3
1420,CD19
1421,NFATC2
1422,ABCB6
1423,TLR8
1424,VPS13A
1425,ALG2
1426,RASSF5
1427,PRKCD
1428,DNAJC10
1429,EZH2
1430,TP53
1431,SPO11
1432,KLHL26
1433,ITGB7
1434,IARS2
1435,MAF
1436,TFR2
1437,PLN
1438,NTNG2
1439,SMAD7
1440,CLEC14A
1441,FBXW11
1442,SLC2A2
1443,DOK7
1444,COL7A1
1445,BLM
1446,DNAJB4
1447,STEAP1
1448,FLOT2
1449,PITPNB
1450,NQO2
1451,GLS2
1452,WNT4
1453,MOB2
1454,IGF2BP2
1455,NUCB2
1456,EIF2AK2
1457,IFI44L
1458,ABCA1
1459,PYM1
1460,CD28
1461,MAVS
1462,CDX2
1463,YIF1B
1464,DNAH12
1465,MYLIP
1466,TNFAIP8
1467,BNC2
1468,NUP214
1469,BMPR1A
1470,CALB2
1471,NR4A3
1472,DZIP1L
1473,OGDH
1474,RNF187
1475,CLEC16A
1476,P2RY6
1477,MAN1A1
1478,HAS2
1479,ITGB4
1480,MICB
1481,RNASEL
1482,SDHAF3
1483,NCBP3
1484,XRCC5
1485,INSL3
1486,JPT2
1487,IFIT1
1488,IL11
1489,NXN
1490,HSPA1L
1491,ADAMTS1
1492,ASF1B
1493,SMC4
1494,HS3ST2
1495,PRPS1
1496,RSAD2
1497,GNAI2
1498,OLR1
1499,FRZB
1500,GAA
1501,AIM2
1502,TFPI
1503,PTGDR2
1504,CTSH
1505,PER1
1506,KLHL13
1507,CYLD
1508,TRPA1
1509,CBR1
1510,RFX5
1511,SMARCC1
1512,AKAP11
1513,PLAU
1514,BARX2
1515,ZC3H12D
1516,GTF2I
1517,ING1
1518,ADGRG5
1519,GTPBP10
1520,IL11RA
1521,TERF1
1522,STK4
1523,S100A1
1524,OVOL2
1525,LAMA3
1526,STAT2
1527,TET2
1528,NR5A1
1529,KDM1A
1530,TFEB
1531,CCR2
1532,HMGA2
1533,STAU2
1534,EGR3
1535,PLAUR
1536,GJA1
1537,COL25A1
1538,API5
1539,HEATR3
1540,BAG2
1541,DNAJA3
1542,VHL
1543,EHF
1544,QPCTL
1545,JPH2
1546,KPNA2
1547,SOX21
1548,RBCK1
1549,BTLA
1550,CUL1
1551,CDAN1
1552,DAB1
1553,KHDRBS1
1554,DAG1
1555,PLXNC1
1556,IRF8
1557,MEF2C
1558,ASIC1
1559,APOL6
1560,CSF3R
1561,LBH
1562,ZNF8
1563,HTR4
1564,SECISBP2L
1565,BMP8B
1566,PDGFRL
1567,OXER1
1568,PBDC1
1569,FUT3
1570,FHAD1
1571,NPR1
1572,MFN2
1573,CNTLN
1574,IL4
1575,ERC1
1576,CD1E
1577,DLG1
1578,MME
1579,AAR2
1580,KCNQ4
1581,PTTG1
1582,TLR6
1583,R3HDM1
1584,AKT1
1585,PRKACB
1586,TSPAN14
1587,BIRC7
1588,PRKRA
1589,MTRF1
1590,CCL27
1591,ERBB3
1592,NOC3L
1593,PFKFB3
1594,SRFBP1
1595,PTK7
1596,MTA2
1597,ATF1
1598,TESK2
1599,GPR63
1600,SMOC1
1601,LGALSL
1602,MCM2
1603,SMCHD1
1604,SRI
1605,PANK2
1606,MYB
1607,RET
1608,DACH1
1609,SAMHD1
1610,FBXO43
1611,NXT2
1612,PIBF1
1613,ZNF326
1614,IMPDH2
1615,RBM12
1616,S1PR5
1617,NLRP3
1618,CUL4A
1619,PID1
1620,LINS1
1621,MAPK8
1622,PRG2
1623,TGFB1I1
1624,LIPE
1625,GRM4
1626,TJP1
1627,VPS13B
1628,DDX27
1629,INMT
1630,UBR3
1631,NIN
1632,CD55
1633,SFRP1
1634,CLEC4D
1635,NLE1
1636,SLC16A1
1637,DVL1
1638,IL18BP
1639,CTCF
1640,NKAPD1
1641,CPLX3
1642,LOXL1
1643,ADGRG6
1644,CDH6
1645,GAD1
1646,RHOT1
1647,NCF2
1648,SIRT1
1649,RAD54L2
1650,STUB1
1651,TNFSF15
1652,MUC1
1653,HNF1A
1654,IL18
1655,RBM14
1656,BRIP1
1657,NDP
1658,RIPK3
1659,ABI3BP
1660,TMBIM4
1661,MACC1
1662,SPN
1663,SCG5
1664,BLNK
1665,CD300C
1666,PTGS2
1667,BFSP1
1668,IFT57
1669,GNA11
1670,SDAD1
1671,SMAD1
1672,IRF4
1673,NCK1
1674,IKZF2
1675,LYAR
1676,PIK3CB
1677,KIF2C
1678,CNTROB
1679,URGCP
1680,PTH2R
1681,FAM131C
1682,ABCA3
1683,PAM
1684,SYTL2
1685,POR
1686,BEAN1
1687,MFGE8
1688,LARP4
1689,SGK1
1690,SESN2
1691,MYO1C
1692,ABO
1693,CMA1
1694,RFC3
1695,ESRRG
1696,ABCD3
1697,SP140
1698,VAV3
1699,CLSTN1
1700,KCNK2
1701,TRPM1
1702,CAMP
1703,XRCC3
1704,EFS
1705,LACC1
1706,VEGFC
1707,SERPIND1
1708,MUC16
1709,STX11
1710,NT5E
1711,CAPN1
1712,EFNB2
1713,PTOV1
1714,SLC10A1
1715,FAR1
1716,REEP4
1717,POLR2C
1718,CREB1
